vendornumber,vendorname,total_purchase_dollars,total_purchase_quantity,purchase_orders,avg_purchase_price,total_sales_dollars,total_sales_quantity,avg_sales_price,gross_profit,profit_margin_pct,total_freight,adjusted_profit,adjusted_margin_pct
17037,Dunn Wine Brokers,72055.3,5448,50,14.01,83061.33,4117,20.29,11006.03,13.25,358.03,10648.0,12.82
8735,SURVILLE ENTERPRISES CORP,51325.77,6504,54,8.79,80444.85,6515,13.19,29119.08,36.2,263.32,28855.76,35.87
6830,PARK STREET IMPORTS LLC,69459.42,4349,32,15.25,77594.47,3503,22.26,8135.05,10.48,360.29,7774.76,10.02
28750,SMOKY QUARTZ DISTILLERY LLC,69803.71,3197,48,21.82,76449.11,2739,27.9,6645.4,8.69,342.65,6302.75,8.24
90027,POVERTY LANE ORCHARDS,45269.01,5872,47,7.71,73642.09,6341,11.65,28373.08,38.53,229.88,28143.2,38.22
90011,FORTUNE WINE BROKERS LLC,46940.17,5072,53,10.36,72952.93,4707,16.48,26012.76,35.66,238.61,25774.15,35.33
60,ADAMBA IMPORTS INTL INC,76770.25,4732,35,16.23,67576.22,3978,16.99,-9194.03,-13.61,367.52,-9561.55,-14.15
8920,TAKARA SAKE USA INC,45289.34,9066,55,7.19,64082.97,8973,7.07,18793.63,29.33,232.99,18560.64,28.96
388,ATLANTIC IMPORTING COMPANY,41116.32,1847,53,22.49,59272.75,1825,31.96,18156.43,30.63,211.74,17944.69,30.27
9622,WEIN BAUER INC,43517.0,3014,53,16.94,56930.23,2867,22.32,13413.23,23.56,222.23,13191.0,23.17
2450,DJINN SPIRITS LLC,48830.78,2637,51,19.34,56731.23,2177,26.44,7900.45,13.93,251.28,7649.17,13.48
7749,R.P.IMPORTS INC,18776.87,498,16,42.2,54266.62,1038,51.32,35489.75,65.4,91.5,35398.25,65.23
90046,CANDIA VINEYARDS,36588.01,2609,50,13.88,52623.33,2567,20.21,16035.32,30.47,194.13,15841.19,30.1
28776,TALL SHIP DISTILLERY LLC,48445.58,2236,51,21.43,49533.14,1786,27.71,1087.56,2.2,259.9,827.66,1.67
1650,Circa Wines,42554.34,3320,43,13.11,44618.75,2455,22.6,2064.41,4.63,211.97,1852.44,4.15
